date_of_count	words
02-13-2012	325
02-14-2012	1522
02-15-2012	2116
02-17-2012	2381
02-18-2012	3027
02-20-2012	4473
02-21-2012	5194
02-21-2012	6040
02-29-2012	6955
03-02-2012	8188
03-04-2012	9080
03-05-2012	10065
03-09-2012	11427
03-11-2012	13319
03-12-2012	14592
03-13-2012	16523
03-15-2012	17221
03-16-2012	18137
03-17-2012	18866
03-19-2012	20039
03-21-2012	22187
03-22-2012	23099 -- New wordcount (after concatenate): 23921
05-04-2012	24647
05-06-2012	26330
05-07-2012	27921
05-08-2012	29589
05-09-2012	31460
05-10-2012	31799
05-11-2012	32659
05-14-2012	35186
05-15-2012	36987
05-16-2012	37377
05-17-2012	38107
05-18-2012	39176
05-20-2012	40296
05-21-2012	41372
